"IDS_ITEM","DESC_ITEM","ID_BUSINESS_LINE"
"7273191-405MAG","ITEM  7273191-405MAG","4C7"
"7273191-405MAG","ITEM  7273191-405MAG","4C7"
"7273191-405MAG","ITEM  7273191-405MAG","4C7"
"7273191-405MAG","ITEM  7273191-405MAG","4C7"
"7273191-405MAG","ITEM  7273191-405MAG","4C7"
"7273191-405MAG","ITEM  7273191-405MAG","4C7"
"7273191-405MAG","ITEM  7273191-405MAG","4C7"
"7273191-405MAG","ITEM  7273191-405MAG","4C7"
"7273191-405MAG","ITEM  7273191-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7273238-405MAG","ITEM  7273238-405MAG","4C7"
"7278569-W401MAG","ITEM  7278569-W401MAG","4C7"
"7304109-W401MAG","ITEM  7304109-W401MAG","4C7"
"7304109-W401MAG","ITEM  7304109-W401MAG","4C7"
"7304110-W401MAG","ITEM  7304110-W401MAG","4C7"
"7304110-W401MAG","ITEM  7304110-W401MAG","4C7"
"7310481-W401MAG","ITEM  7310481-W401MAG","4C7"
"7310481-W401MAG","ITEM  7310481-W401MAG","4C7"
"7323139-W401MAG","ITEM  7323139-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7344923-W401MAG","ITEM  7344923-W401MAG","4C7"
"7479344-405MAG","ITEM  7479344-405MAG","4C7"
"7479344-405MAG","ITEM  7479344-405MAG","4C7"
"7479344-405MAG","ITEM  7479344-405MAG","4C7"
"7479344-405MAG","ITEM  7479344-405MAG","4C7"
"7479344-405MAG","ITEM  7479344-405MAG","4C7"
"7479344-405MAG","ITEM  7479344-405MAG","4C7"
"7479344-405MAG","ITEM  7479344-405MAG","4C7"
"7479344-405MAG","ITEM  7479344-405MAG","4C7"
"7479344-405MAG","ITEM  7479344-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7479346-405MAG","ITEM  7479346-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481581-405MAG","ITEM  7481581-405MAG","4C7"
"7481582-405MAG","ITEM  7481582-405MAG","4C7"
"7481582-405MAG","ITEM  7481582-405MAG","4C7"
"7481582-405MAG","ITEM  7481582-405MAG","4C7"
"7481582-405MAG","ITEM  7481582-405MAG","4C7"
"7481582-405MAG","ITEM  7481582-405MAG","4C7"
"7481582-405MAG","ITEM  7481582-405MAG","4C7"
"7481582-405MAG","ITEM  7481582-405MAG","4C7"
"7481582-405MAG","ITEM  7481582-405MAG","4C7"
"7481582-405MAG","ITEM  7481582-405MAG","4C7"
"7482087-W401MAG","ITEM  7482087-W401MAG","4C7"
"7486729-405MAG","ITEM  7486729-405MAG","4C7"
"7488255-W401MAG","ITEM  7488255-W401MAG","4C7"
"7488255-W401MAG","ITEM  7488255-W401MAG","4C7"
"7488255-W401MAG","ITEM  7488255-W401MAG","4C7"
"7488255-W401MAG","ITEM  7488255-W401MAG","4C7"
"7492608-W401MAG","ITEM  7492608-W401MAG","4C7"
"7492608-W401MAG","ITEM  7492608-W401MAG","4C7"
"7492608-W401MAG","ITEM  7492608-W401MAG","4C7"
"7492608-W401MAG","ITEM  7492608-W401MAG","4C7"
"7492608-W401MAG","ITEM  7492608-W401MAG","4C7"
"7492608-W401MAG","ITEM  7492608-W401MAG","4C7"
